uid;description;typeUid;typeDescription;thumb;demoVideo;metadata
1;Online Notification;4;Smart Widgets;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Fezgif.com-gif-maker.gif?alt=media&token=23c85968-e1ef-456f-8b7f-55a59460d590;;{}
2;Floating Text Sandbox;1;Animated Texts;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
3;Information Tag;3;Tags;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
4;Instagram Tag;3;Tags;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
5;Subscribe Tag;3;Tags;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
6;Music Player;4;Smart Widgets;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
7;Geometric Forms;2;Shapes;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
8;Twitch Events;7;Events;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
9;Chat;6;Chat;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
10;Chat charts;6;Chat;https://firebasestorage.googleapis.com/v0/b/streaminator-lives.appspot.com/o/widgets-thumbs%2Ftemplate_floating_text.png?alt=media&token=b11841f3-934a-4eeb-8925-5e758d0b77ff;;{}
